Unnamed: 0,Case,Year,Court,Jurisdiction,Category,Medium,Outcome,Computer Program,Education/Scholarship/Research,Eleventh Circuit,"Eleventh Circuit, Internet/Digitization, Textual work","Federal Circuit, Sculpture, Photograph",Film/Audiovisual,"Film/Audiovisual, Format shifting/Space shifting, Internet/Digitization","Film/Audiovisual, Internet/Digitization, Review/Commentary","Film/Audiovisual, Music","Film/Audiovisual, Parody/Satire","Film/audiovisual, Used in government proceeding",Films/Audiovisual,First Circuit,Format shifting/Space shifting,Format shifting/space shifting,Fourth Circuit,"Fourth Circuit, Photograph, Internet/Digitization",Internet,Internet/Digitization,"Internet/Digitization, Film/Audiovisual",Music,News Reporting,News Reporting Photograph;,News reporting,Ninth Circuit,"Ninth Circuit, Photograph, Review/Commentary",Other visual arts,Painting/Drawing/Graphic,Parody/Satire,Photograph,"Photograph, Review/Commentary",Review/Commentary,"Review/Commentary, Internet/Digitization",Sculpture,Second Circuit,"Second Circuit, Internet/Digitization, Music","Second Circuit, Internet/Digitization, News reporting, Photograph","Second Circuit, Photograph, Review/Commentary, Internet/Digitization, News reporting",Seventh Circuit,Textual Work,Unpublished,Used in government proceeding
206,"Lish v. Harper’s Magazine Found., 807 F. Supp. 1090 (S.D.N.Y. 1992)",1992,S.D.N.Y.,Second Circuit,News Reporting; Review/Commentary; Textual work; Unpublished,Text,Fair use not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
208,"Wright v. Warner Books, Inc., 953 F.2d 731 (2d Cir. 1991)",1991,2d Cir.,Second Circuit,Education/Scholarship/Research; Textual work; Unpublished,Text,Fair use found,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
209,"Basic Books, Inc. v. Kinko’s Graphics Corp., 758 F. Supp. 1522 (S.D.N.Y. 1991)",1991,S.D.N.Y.,Second Circuit,Education/Scholarship/Research; Textual work,Text,Fair use not found,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
210,"New Era Publ’ns Int’l, ApS v. Carol Publ’g Grp., 904 F.2d 152 (2d Cir. 1990)",1990,2d Cir.,Second Circuit,Education/Scholarship/Research; Review/Commentary; Textual work,Text,Fair use found,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
211,"Wojnarowicz v. Am. Family Ass’n, 745 F. Supp. 130 (S.D.N.Y. 1990)",1990,S.D.N.Y.,Second Circuit,News reporting; Painting/Drawing/Graphic; Textual work,Text,Fair use found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
213,"Weissmann v. Freeman, 868 F.2d 1313 (2d Cir. 1989)",1989,2d Cir.,Second Circuit,Education/Scholarship/Research; Textual work,Text,Fair use not found,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
214,"Maxtone-Graham v. Burtchaell, 803 F.2d 1253 (2d Cir. 1986)",1986,2d Cir.,Second Circuit,Education/Scholarship/Research; Review/Commentary; Textual work,Text,Fair use found,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
215,"Educ. Testing Servs. v. Katzman, 793 F.2d 533 (3d Cir. 1986)",1986,3d Cir.,Third Circuit,Education/Scholarship/Research; Textual work,Text,Fair use not found,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
216,"Fisher v. Dees, 794 F.2d 432 (9th Cir. 1986)",1986,9th Cir.,Ninth Circuit,Music; Parody/Satire; Review/Commentary,Text,Fair use found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
217,"Hustler Magazine, Inc. v. Moral Majority, Inc., 796 F.2d 1148 (9th Cir. 1986)",1986,9th Cir.,Ninth Circuit,Painting/Drawing/Graphic; Review/Commentary; Textual work,Text,Fair use found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
218,"Haberman v. Hustler Magazine, Inc., 626 F. Supp. 201 (D. Mass. 1986)",1986,D. Mass.,First Circuit,Painting/Drawing/Graphic; Photograph; Review/Commentary,Text,Fair use found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
219,"Radji v. Khakbaz, 607 F. Supp. 1296 (D.D.C. 1985)",1985,D.D.C.,District of Columbia Circuit,News reporting; Textual work,Text,Fair use not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
220,"Harper & Row Publishers, Inc. v. Nation Enters., 471 U.S. 539 (1985)",1985,U.S. Supreme Court,U.S. Supreme Court,News reporting; Textual work; Unpublished,Text,Fair use not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
221,"Pac. & S. Co. v. Duncan, 744 F.2d 1490 (11th Cir. 1984)",1984,11th Cir.,Eleventh Circuit,Film/Audiovisual; News reporting,Text,Fair use not found,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,"Diamond v. Am-Law Publ’g Corp., 745 F.2d 142 (2d Cir. 1984)",1984,2d Cir.,Second Circuit,News reporting,Text,Fair use found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,"Marcus v. Rowley, 695 F.2d 1171 (9th Cir. 1983)",1983,9th Cir.,Ninth Circuit,Education/Scholarship/Research; Textual work,Text,Fair use not found,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
224,"Ass’n of Am. Med. Colls. v. Mikaelian, 571 F. Supp. 144 (E.D. Pa. 1983)",1983,E.D. Pa.,Third Circuit,Education/Scholarship/Research; Textual work,Text,Fair use not found,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
